sample,group,missing_pct,n_quantified,median_intensity,iqr_intensity,within_group_spearman,pca_distance,flag,reasons
D1B_1,D1B,0,8429,10.9206991195679,3.88937854766848,0.9872027188362655,1.6361709621282992,FALSE,
D1B_2,D1B,0,8429,10.8883953094482,3.751505851745641,0.9917650511207572,0.763245836744845,FALSE,
D1B_3,D1B,0,8429,10.8846645355225,3.7495632171630504,0.9912105808282777,0.785790322573792,FALSE,
D1B_4,D1B,0,8429,10.896632194519,3.7659626007079705,0.9907514302322223,0.17944766574179577,FALSE,
D1BM_1,D1BM,0,8429,10.823618888855,3.815770149230941,0.9913853714091565,0.8885604618657469,FALSE,
D1BM_2,D1BM,0,8429,10.8336181640625,3.88795471191402,0.989081478903947,1.221242988834209,FALSE,
D1BM_3,D1BM,0,8429,10.8275804519653,3.84990692138674,0.992385262534436,1.0645291296809678,FALSE,
D1BM_4,D1BM,0,8429,10.8324289321899,3.8320322036743093,0.9911018269280251,0.8865062375954432,FALSE,
D1C_1,D1C,0,8429,10.9031343460083,3.896353721618599,0.9871915056432468,2.240406990779738,TRUE,PCA_outlier
D1C_2,D1C,0,8429,10.8977212905884,3.769659042358409,0.9907887932191493,1.7036655738609376,FALSE,
D1C_3,D1C,0,8429,10.8710145950317,3.8112039566040394,0.9912888585717693,0.20028909153308122,FALSE,
D1C_4,D1C,0,8429,10.8769865036011,3.781855583190941,0.9909513210510024,1.012446781906524,FALSE,
D1CM_1,D1CM,0,8429,10.9025230407715,3.8320932388305806,0.9921838334932287,0.41513068024912997,FALSE,
D1CM_2,D1CM,0,8429,10.905463218689,3.7804059982299503,0.9917864463065809,1.0265731823972828,FALSE,
D1CM_3,D1CM,0,8429,10.8596172332764,3.84633922576905,0.9912833398255364,0.33396493769384605,FALSE,
D1CM_4,D1CM,0,8429,10.8778791427612,3.819981575012161,0.9916884290054468,1.0690579192194918,FALSE,
D2B_1,D2B,0,8429,10.8762874603271,3.83151054382321,0.9912599001555353,1.5270525914072937,FALSE,
D2B_2,D2B,0,8429,10.8571453094482,3.85545539855959,0.9922322311302586,0.6664171864399737,FALSE,
D2B_3,D2B,0,8429,10.8650331497192,3.8362951278686985,0.9925882708242042,1.358896601982188,FALSE,
D2B_4,D2B,0,8429,10.8418369293213,3.86895656585698,0.9917500809189205,0.8225090693267202,FALSE,
D2BM_1,D2BM,0,8429,10.810827255249,3.8935241699218395,0.9922739812370064,0.6962498096812072,FALSE,
D2BM_2,D2BM,0,8429,10.8291969299316,3.891268730163601,0.9928731103189246,0.49127814070144216,FALSE,
D2BM_3,D2BM,0,8429,10.8147802352905,3.9022150039673207,0.9921334226661247,0.27973412531854863,FALSE,
D2BM_4,D2BM,0,8429,10.8118915557861,3.9369029998778906,0.9904694539256421,0.751344327768621,FALSE,
D3B_1,D3B,0,8429,10.8034048080444,3.9094057083129794,0.9948598860656446,0.7040685516353729,FALSE,
D3B_2,D3B,0,8429,10.7998352050781,3.93919658660886,0.9951646005744466,0.18179592329476618,FALSE,
D3B_3,D3B,0,8429,10.8039741516113,3.94718742370606,0.9950945677473576,0.5349480892265991,FALSE,
D3B_4,D3B,0,8429,10.8031044006348,3.945764541625989,0.9942093673600619,0.7660261634752439,FALSE,
D3BM_1,D3BM,0,8429,10.8001661300659,3.9241504669189595,0.9910121560389493,1.9401531385511555,FALSE,
D3BM_2,D3BM,0,8429,10.787088394165,3.9506950378417702,0.9916554226631592,0.7073381990913195,FALSE,
D3BM_3,D3BM,0,8429,10.7760362625122,4.00302791595459,0.991083341762297,0.9363380690157459,FALSE,
D3BM_4,D3BM,0,8429,10.7654113769531,4.084325790405259,0.9874961390148478,1.9847715400424741,FALSE,
D5B_1,D5B,0,8429,10.7835063934326,3.9809484481811594,0.9944274287920851,0.9827333281975994,FALSE,
D5B_2,D5B,0,8429,10.7916822433472,3.9546146392822106,0.9937283760029331,0.811778442465924,FALSE,
D5B_3,D5B,0,8429,10.7985811233521,3.9301042556763104,0.994923778289119,1.0895635304497007,FALSE,
D5B_4,D5B,0,8429,10.7817792892456,3.92841625213622,0.9940303122511644,0.8375270630152986,FALSE,
D5BM_1,D5BM,0,8429,10.7551574707031,3.9934253692627397,0.9925603167327554,0.3370621405899781,FALSE,
D5BM_2,D5BM,0,8429,10.7450437545776,3.9837617874145295,0.9929350807568031,0.1635088999126965,FALSE,
D5BM_3,D5BM,0,8429,10.7445058822632,4.00741863250736,0.9921215704580227,0.21784056529920726,FALSE,
D5BM_4,D5BM,0,8429,10.7778520584106,4.00582599639894,0.9906382375023761,0.2565492930078854,FALSE,
D8B_1,D8B,0,8429,10.7678709030151,4.02996730804443,0.9899663425869303,2.093608204511305,FALSE,
D8B_2,D8B,0,8429,10.7546911239624,4.013254165649441,0.9899093573848502,0.930796044528052,FALSE,
D8B_3,D8B,0,8429,10.7715549468994,4.06093025207519,0.9886202639491414,1.7335856964280567,FALSE,
D8B_4,D8B,0,8429,10.7473163604736,4.010313034057589,0.9887722444135427,1.1686724132388586,FALSE,
D8BM_1,D8BM,0,8429,10.7726526260376,4.0868434906005895,0.986745844815886,1.8609703148048244,FALSE,
D8BM_2,D8BM,0,8429,10.7540760040283,4.03942871093747,0.9867503589532227,1.1182665775214287,FALSE,
D8BM_3,D8BM,0,8429,10.7898206710815,3.9631595611572603,0.9873519631982589,2.163600324714392,TRUE,PCA_outlier
D8BM_4,D8BM,0,8429,10.7892293930054,4.0963430404662695,0.9839301959079965,1.3942223939107055,FALSE,
D8C_1,D8C,0,8429,10.8527040481567,4.035093307495069,0.990642100712346,0.5129831920373678,FALSE,
D8C_2,D8C,0,8429,10.8289175033569,3.959648132324249,0.9907921603962362,0.9013066705163656,FALSE,
D8C_3,D8C,0,8429,10.8284311294556,3.9794940948486683,0.9907832620577357,1.113142630089872,FALSE,
D8C_4,D8C,0,8429,10.823637008667,4.088900566101049,0.9879837282564935,1.5301542707179405,FALSE,
D8CM_1,D8CM,0,8429,10.8705635070801,4.0287132263184,0.9778173518748138,4.277903025132691,TRUE,PCA_outlier
D8CM_2,D8CM,0,8429,10.8015727996826,4.03333473205571,0.9850092981056522,1.552209197848104,FALSE,
D8CM_3,D8CM,0,8429,10.7956466674805,3.98964405059818,0.987397552365875,1.4279119889451197,FALSE,
D8CM_4,D8CM,0,8429,10.8152837753296,3.9459600448608505,0.9875461539089072,1.4348998247298488,FALSE,
